hght,pres,temp,air_density,water_density,ozone_density
000,1.013e+03,300,1.167e+03,1.9e+01,5.6e-05
001,9.040e+02,294,1.064e+03,1.3e+01,5.6e-05
002,8.050e+02,288,9.869e+02,9.3e+00,5.4e-05
003,7.150e+02,284,8.756e+02,4.7e+00,5.1e-05
004,6.330e+02,277,7.951e+02,2.2e+00,4.7e-05
005,5.590e+02,270,7.199e+02,1.5e+00,4.5e-05
006,4.920e+02,264,6.501e+02,8.5e-01,4.3e-05
007,4.320e+02,257,5.855e+02,4.7e-01,4.1e-05
008,3.780e+02,250,5.258e+02,2.5e-01,3.9e-05
009,3.290e+02,244,4.708e+02,1.2e-01,3.9e-05
010,2.860e+02,237,4.202e+02,5.6e-02,3.9e-05
011,2.470e+02,230,3.740e+02,1.7e-02,4.1e-05
012,2.130e+02,224,3.316e+02,6.0e-03,4.3e-05
013,1.820e+02,217,2.939e+02,1.8e-03,4.5e-05
014,1.560e+02,210,2.578e+02,1.Oe-03,4.5e-05
015,1.320e+02,204,2.260e+02,7.6e-04,4.7e-05
016,1.110e+02,197,1.972e+02,6.4e-02,4.7e-05
017,9.370e+01,195,1.676e+02,5.6e-04,6.9e-05
018,7.890e+01,189,1.382e+02,5.0e-04,9.0e-05
019,6.660e+01,203,1.145e+02,4.9e-04,1.4e-04
020,5.650e+01,207,9.515e+01,4.5e-04,1.9e-04
021,4.800e+01,211,7.938e+01,5.1e-04,2.4e-04
022,4.090e+01,215,6.645e+01,5.1e-04,2.8e-04
023,3.500e+01,217,5.618e+01,5.4e-04,3.2e-04
024,3.000e+01,219,4.763e+01,6.0e-04,3.4e-04
025,2.570e+01,221,4.045e+01,6.7e-04,3.4e-04
030,1.220e+01,232,1.831e+01,3.6e-04,2.4e-04
035,6.000e+00,243,8.600e+00,1.1e-04,9.2e-05
040,3.050e+00,254,4.181e+00,4.3e-05,4.1e-05
045,1.590e+00,265,2.097e+00,1.9e-05,1.3e-05
050,8.540e-01,270,1.101e+00,6.3e-06,4.3e-06
070,5.790e-02,219,9.210e-02,1.4e-07,8.6e-08
100,3.000e-04,210,5.000e-04,1.0e-09,4.3e-11
